"","created_at","screen_name","text","country","place_full_name"
"776",2019-08-23 14:26:52,"Som_panan","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
"777",2019-08-23 14:26:51,"realzero_0","Is this SHINee World Concert <U+0001F602><U+0001F602><U+0001F602> #TAEMINinJKT #taemin #<U+D0DC><U+BBFC> https://t.co/Aa2UkBU4aY",NA,NA
"778",2019-08-23 14:26:50,"dyahptri_","yaallah sayang aku mimpi apa ini

#TAEMINinJKT https://t.co/PbW6K4y093",NA,NA
"779",2019-08-23 14:26:48,"choco93103226","US SINGING MOVE AND TAEMIN DANCING RIGHT IN FRONT OF MY EYES SJJSJSJAJA #TAEMINinJKT https://t.co/fOSGR99CgZ",NA,NA
"780",2019-08-23 14:26:47,"Bktth89","He's very cutee. His smile very bright. He looks little confused when the mc still not talking and then- UWAH. His fav emoji is out! 6v6 #TAEMINinJKT https://t.co/7t0hlEh9EF",NA,NA
"781",2019-08-23 14:26:47,"mrs_rain03","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
"782",2019-08-23 14:23:19,"mrs_rain03","US SINGING MOVE AND TAEMIN DANCING RIGHT IN FRONT OF MY EYES SJJSJSJAJA #TAEMINinJKT https://t.co/fOSGR99CgZ",NA,NA
"783",2019-08-23 14:25:14,"Qnnie203","yaallah sayang aku mimpi apa ini

#TAEMINinJKT https://t.co/PbW6K4y093",NA,NA
"784",2019-08-23 14:26:44,"Qnnie203","US SINGING MOVE AND TAEMIN DANCING RIGHT IN FRONT OF MY EYES SJJSJSJAJA #TAEMINinJKT https://t.co/fOSGR99CgZ",NA,NA
"785",2019-08-23 14:26:44,"onyuorinji","190823 RCTi+ Jakarta<U+0001F1EE><U+0001F1E9>

#SHINee #<U+C0E4><U+C774><U+B2C8> #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/D1Nrrrpbwp",NA,NA
